BracketedTree #	ILLOC Force	SOW	Bracketed Tree	
44680	Q  	O1[+WA] Adv O3[+WH] P Verb Aux S ka               	
44682	Q  	O1[+WA] Adv O3[+WH] P O2 Verb Aux S ka            	
44684	Q  	O1[+WA] Adv[+WH] Verb Aux S ka                    	
44686	Q  	O1[+WA] Adv[+WH] O2 Verb Aux S ka                 	
44688	Q  	O1[+WA] Adv[+WH] O3 P Verb Aux S ka               	
44690	Q  	O1[+WA] Adv[+WH] O3 P O2 Verb Aux S ka            	
44692	Q  	O1[+WA] O2[+WH] Verb Aux S ka                     	
44694	Q  	O1[+WA] O3 P O2[+WH] Verb Aux S ka                	
44696	Q  	O1[+WA] O3[+WH] P Verb Aux S ka                   	
44698	Q  	O1[+WA] O3[+WH] P O2 Verb Aux S ka                	
44788	Q  	O1[+WA] Adv Verb Not Aux S[+WH] ka                	
44789	Q  	O1[+WA] Adv O2 Verb Not Aux S[+WH] ka             	
44790	Q  	O1[+WA] Adv O3 P Verb Not Aux S[+WH] ka           	
44791	Q  	O1[+WA] Adv O3 P O2 Verb Not Aux S[+WH] ka        	
44792	Q  	O1[+WA] Verb Not Aux S[+WH] ka                    	
44793	Q  	O1[+WA] O2 Verb Not Aux S[+WH] ka                 	
44794	Q  	O1[+WA] O3 P Verb Not Aux S[+WH] ka               	
44795	Q  	O1[+WA] O3 P O2 Verb Not Aux S[+WH] ka            	
44796	Q  	O1[+WA] Adv Verb Never Aux S[+WH] ka              	
44797	Q  	O1[+WA] Adv O2 Verb Never Aux S[+WH] ka           	
44798	Q  	O1[+WA] Adv O3 P Verb Never Aux S[+WH] ka         	
44799	Q  	O1[+WA] Adv O3 P O2 Verb Never Aux S[+WH] ka      	
44800	Q  	O1[+WA] Verb Never Aux S[+WH] ka                  	
44801	Q  	O1[+WA] O2 Verb Never Aux S[+WH] ka               	
44802	Q  	O1[+WA] O3 P Verb Never Aux S[+WH] ka             	
44803	Q  	O1[+WA] O3 P O2 Verb Never Aux S[+WH] ka          	
44836	Q  	O1[+WA] Adv Verb Aux S[+WH] ka                    	
44837	Q  	O1[+WA] Adv O2 Verb Aux S[+WH] ka                 	
44838	Q  	O1[+WA] Adv O3 P Verb Aux S[+WH] ka               	
44839	Q  	O1[+WA] Adv O3 P O2 Verb Aux S[+WH] ka            	
44840	Q  	O1[+WA] Verb Aux S[+WH] ka                        	
44841	Q  	O1[+WA] O2 Verb Aux S[+WH] ka                     	
44842	Q  	O1[+WA] O3 P Verb Aux S[+WH] ka                   	
44843	Q  	O1[+WA] O3 P O2 Verb Aux S[+WH] ka                	
46900	Q  	O1[+WH][+WA] Adv Verb Not Aux S ka                	
46902	Q  	O1[+WH][+WA] Adv O2 Verb Not Aux S ka             	
46904	Q  	O1[+WH][+WA] Adv O3 P Verb Not Aux S ka           	
46906	Q  	O1[+WH][+WA] Adv O3 P O2 Verb Not Aux S ka        	
46908	Q  	O1[+WH][+WA] Verb Not Aux S ka                    	
46910	Q  	O1[+WH][+WA] O2 Verb Not Aux S ka                 	
46912	Q  	O1[+WH][+WA] O3 P Verb Not Aux S ka               	
46914	Q  	O1[+WH][+WA] O3 P O2 Verb Not Aux S ka            	
46916	Q  	O1[+WH][+WA] Adv Verb Never Aux S ka              	
46918	Q  	O1[+WH][+WA] Adv O2 Verb Never Aux S ka           	
46920	Q  	O1[+WH][+WA] Adv O3 P Verb Never Aux S ka         	
46922	Q  	O1[+WH][+WA] Adv O3 P O2 Verb Never Aux S ka      	
46924	Q  	O1[+WH][+WA] Verb Never Aux S ka                  	
46926	Q  	O1[+WH][+WA] O2 Verb Never Aux S ka               	
46928	Q  	O1[+WH][+WA] O3 P Verb Never Aux S ka             	
46930	Q  	O1[+WH][+WA] O3 P O2 Verb Never Aux S ka          	
46996	Q  	O1[+WH][+WA] Adv Verb Aux S ka                    	
46998	Q  	O1[+WH][+WA] Adv O2 Verb Aux S ka                 	
47000	Q  	O1[+WH][+WA] Adv O3 P Verb Aux S ka               	
47002	Q  	O1[+WH][+WA] Adv O3 P O2 Verb Aux S ka            	
47004	Q  	O1[+WH][+WA] Verb Aux S ka                        	
47006	Q  	O1[+WH][+WA] O2 Verb Aux S ka                     	
47008	Q  	O1[+WH][+WA] O3 P Verb Aux S ka                   	
47010	Q  	O1[+WH][+WA] O3 P O2 Verb Aux S ka                	
54356	Q  	O2[+WA] Adv O1[+WH] Verb Not Aux S ka             	
54358	Q  	O2[+WA] Adv O3 P O1[+WH] Verb Not Aux S ka        	
54360	Q  	O2[+WA] Adv O3[+WH] P O1 Verb Not Aux S ka        	
